"TF","TargetGene"
"Stat1(+)","Parp10"
"Stat1(+)","Grina"
"Stat1(+)","1110038F14Rik"
"Stat1(+)","Apol9b"
"Stat1(+)","Csf2rb2"
"Stat1(+)","Apobec3"
"Stat1(+)","Chadl"
"Stat1(+)","Tspo"
"Stat1(+)","Dennd6b"
"Stat1(+)","Lrrk2"
"Stat1(+)","Irak4"
"Stat1(+)","Slc48a1"
"Stat1(+)","A330009N23Rik"
"Stat1(+)","Grasp"
"Stat1(+)","Atf7"
"Stat1(+)","Ciita"
"Stat1(+)","Socs1"
"Stat1(+)","Tnp2"
"Stat1(+)","Zc3h7a"
"Stat1(+)","Snai2"
"Stat1(+)","Sdf2l1"
"Stat1(+)","Med15"
"Stat1(+)","Rtp4"
"Stat1(+)","Lpp"
"Stat1(+)","A230028O05Rik"
"Stat1(+)","Ccdc50"
"Stat1(+)","Bex6"
"Stat1(+)","Wdr53"
"Stat1(+)","Parp14"
"Stat1(+)","Dtx3l"
"Stat1(+)","Parp9"
"Stat1(+)","Cd86"
"Stat1(+)","Hcls1"
"Stat1(+)","Poglut1"
"Stat1(+)","Myh15"
"Stat1(+)","Bbx"
"Stat1(+)","Cblb"
"Stat1(+)","Nxpe3"
"Stat1(+)","Abi3bp"
"Stat1(+)","Filip1l"
"Stat1(+)","Zfp654"
"Stat1(+)","Usp25"
"Stat1(+)","Mir155hg"
"Stat1(+)","Rwdd2b"
"Stat1(+)","4932438H23Rik"
"Stat1(+)","Ifnar2"
"Stat1(+)","Morc3"
"Stat1(+)","Mx1"
"Stat1(+)","B230307C23Rik"
"Stat1(+)","Tcp10a"
"Stat1(+)","Plg"
"Stat1(+)","Slc22a2"
"Stat1(+)","Sod2"
"Stat1(+)","Tcp10b"
"Stat1(+)","Lnpep"
"Stat1(+)","Fpr2"
"Stat1(+)","Zfp160"
"Stat1(+)","E4f1"
"Stat1(+)","Mapk8ip3"
"Stat1(+)","Clcn7"
"Stat1(+)","Lmf1"
"Stat1(+)","Tmem8"
"Stat1(+)","Bak1"
"Stat1(+)","4930539E08Rik"
"Stat1(+)","Cmtr1"
"Stat1(+)","Angptl4"
"Stat1(+)","Daxx"
"Stat1(+)","Tapbp"
"Stat1(+)","H2-DMa"
"Stat1(+)","H2-DMb1"
"Stat1(+)","Psmb9"
"Stat1(+)","Tap1"
"Stat1(+)","Psmb8"
"Stat1(+)","Tap2"
"Stat1(+)","H2-Ab1"
"Stat1(+)","H2-Aa"
"Stat1(+)","H2-Eb1"
"Stat1(+)","Zbtb12"
"Stat1(+)","Aif1"
"Stat1(+)","Tnf"
"Stat1(+)","Atp6v1g2"
"Stat1(+)","H2-D1"
"Stat1(+)","H2-Q4"
"Stat1(+)","H2-T24"
"Stat1(+)","H2-T23"
"Stat1(+)","H2-T22"
"Stat1(+)","Gm6034"
"Stat1(+)","Trim26"
"Stat1(+)","Ubd"
"Stat1(+)","H2-M3"
"Stat1(+)","Pla2g7"
"Stat1(+)","Nfkbie"
"Stat1(+)","Klhdc3"
"Stat1(+)","Cnpy3"
"Stat1(+)","Foxp4"
